,chat25_Sain,chat21_Sain,chat24_Sain,chat22_Sain,chat23_Sain,chat11_Chronique,chat12_Chronique,chat10_Chronique,chat15_Chronique,chat17_Chronique,chat14_Chronique,chat18_Chronique,chat19_Chronique,chat5_Chronique,chat8_Chronique,chat32_Legere,chat30_Legere,chat29_Legere,chat31_Legere,chat28_Legere
ENSFCAG00000029722,8.87476504808397,9.8785925852332,10.2975595152426,10.6563280721729,0.676964341517693,-1.83066854351399,-1.45430700821957,-2.12123904077982,8.28511120193112,7.14267736064958,-0.711566427924353,7.34982656238647,-1.2772847112112,-1.38363855285873,0.15459297854047,-1.41744158638527,-1.53465393760266,-0.511029119723731,-1.27750814108688,-1.77439359559508
ENSFCAG00000015194,9.44882597315203,10.7534440409619,13.0610484524073,9.239306668826,1.87711155050722,-0.518282989511896,-0.618695037968154,1.74294497934197,10.0924304676804,9.77464107944412,0.895240680608395,9.62610180436201,0.681696700502173,1.20940224004881,2.0721328772314,0.199159503987403,0.088479507658455,0.190294152744207,-0.455235549351209,-0.126445579776744
ENSFCAG00000015179,11.7640765199804,11.5070262498169,12.9656770013368,11.6413522923454,3.79426889399326,1.31361534173581,0.0131713795678555,1.67414917346114,9.68545133684633,8.22593826998658,1.52709273198003,9.400101554828,1.34991507403634,1.46797833334682,1.62073660536193,0.331764013087597,0.978419796444306,0.933366368958273,-0.0882748808775273,0.563135989570791
ENSFCAG00000006483,12.1916303651909,12.7809910801189,13.3068335399328,10.9275269118719,3.56058902536709,1.67834698494335,1.60846321396826,2.33071166082727,11.0675801240907,10.8466714888908,2.04659866847446,10.9122765928117,2.24075874569952,2.36441230622987,3.38522154482885,1.30701625222397,1.16018733050196,1.998658189026,1.01673363496856,1.89648265212193
ENSFCAG00000009457,7.83070499072703,7.89814592291218,8.46449327958391,7.39634566266197,-0.445463027560416,-3.28784071043599,-4.54591674336763,-3.75666180251424,5.3470912099311,4.4004767325188,-1.8892436261229,5.07418584410141,-2.01023421675257,-0.853418755233913,0.30103681692185,-3.35003357092415,-2.86465040219766,-3.3552159076495,-3.8527355071373,-3.24897713830507
ENSFCAG00000018512,13.2871182503267,13.0936631960737,14.3067797179644,13.4076756104357,5.38822087275608,3.33799967626321,3.50952009792051,3.18812139737742,12.0189225374376,11.0233777236904,3.39110704539693,10.8017277009558,3.5293839069925,3.42850542804221,3.7655257344908,2.35806419749976,2.53764442036629,3.80630129983682,2.60017454240531,2.54692085059929
ENSFCAG00000041360,4.40543223396279,7.74982921611636,7.18084754078053,4.3959215026598,1.30053125146496,-3.28784071043599,-2.73520389351749,0.220389137418085,7.51835718178274,6.83891631237792,-4.54591674336763,7.56755744137784,-2.59019227733619,-2.67770108903957,-1.83313699703518,-3.35003357092415,-3.07828528362698,-1.65582417545051,-3.0346842732142,-3.24897713830507
ENSFCAG00000003657,11.6984447858252,13.5797058864864,13.9953213585678,11.1032564953633,5.08441353912189,3.29485844359883,1.03359258465322,2.99291751262404,10.5727652476334,9.83762662295002,2.12381414463975,10.2244733774669,2.48265022390365,2.52946384123715,3.27433470076177,2.10363364115306,1.68594447925057,3.1599715834786,1.89273262100548,1.96723299830271
ENSFCAG00000015357,7.43407101130947,7.09662382882521,8.08637833190394,8.12737112871894,-4.54591674336763,-2.17427510636876,-2.17289229365084,-3.75666180251424,4.4005619572114,3.35435734757979,-1.8892436261229,4.99877190959169,-0.793582493160195,-0.712617954272586,0.15459297854047,-3.35003357092415,-4.0184273090394,-2.26855439891734,-3.8527355071373,-3.24897713830507
ENSFCAG00000030433,9.80288913355117,8.54418000204582,12.0748473716839,8.7602969555673,11.9311669213027,0.697515835067986,-0.0929722122991935,1.36055831389546,0.404326071195819,7.7664420063599,1.68829359368531,8.68016349478616,9.99564463270775,1.24437457374554,7.43177385922162,0.565202532254605,0.32448717269685,1.09042276121215,0.605589429815513,1.41285602615323
ENSFCAG00000042391,6.50416806717596,7.2362732666034,7.44359606307431,6.6897050470874,0.11118894900043,-3.28784071043599,-2.42682361945512,-3.24939268726918,5.68601537516162,2.36038360536713,-4.54591674336763,3.2669338933732,-3.57528227825941,-3.3284354739342,-0.402890106552931,-1.92219005874899,-3.3291477624135,-4.54591674336763,-3.8527355071373,-4.54591674336763
ENSFCAG00000038663,-3.23738286191125,5.48996909656958,-4.54591674336763,-0.975966758404481,5.83964846956774,-4.54591674336763,4.84175934890592,-2.87482938867957,5.2227294171373,4.46041261450326,-4.54591674336763,4.61857286126701,-3.00024263595599,-4.54591674336763,5.80724155246696,-3.35003357092415,-4.0184273090394,5.37119411760216,-3.38648797514903,4.20507816474582
ENSFCAG00000009092,7.68095624140148,6.51734707076371,8.09358811386165,8.13156872945714,12.3597725546641,-0.581191048195735,-2.42682361945512,0.0131855178183045,-0.794811682820704,7.0217302893901,-1.00842870693848,4.66690701324038,9.42204694111192,2.06517415432726,6.19571663417617,-0.393647834662539,-1.06660476817421,0.55625999054623,-0.621110767405313,-0.126445579776744
ENSFCAG00000045061,5.64633165809107,6.2797274623899,7.89528911249703,6.70024023641267,-4.54591674336763,-2.62618337000507,-0.618695037968154,-3.75666180251424,6.75833843425745,5.73413043357955,-2.67687991767183,5.23832006482455,-1.59770546243388,-3.3284354739342,0.555691966493012,-2.26123950621352,-4.54591674336763,-1.92990161970482,-0.808565629565025,-3.24897713830507
ENSFCAG00000012262,12.1600691200316,11.2448654776292,12.7116277082283,9.44712325849794,3.22937013455206,1.16820040226603,0.291507569019248,1.36055831389546,8.6248069104622,5.797876891998,1.78655108923115,7.94535722891063,1.27841146023864,0.97964258382239,2.26294086876958,0.618103483514033,0.187561397877372,0.501355550488629,0.330593453335737,0.982942213262546
ENSFCAG00000045116,11.108343104557,12.7819589654877,13.213570674452,8.6074488571803,3.0300519501218,0.74956955141716,0.412827141368497,2.41745212671967,9.40592034232362,8.88010715804602,1.46909167177854,9.67226591459274,4.97036066069192,1.52597870422076,3.22930872179991,0.812210768752375,0.848183574530269,1.73871142101588,2.72642717777066,0.982942213262546
ENSFCAG00000034047,9.75016328228466,9.00609923335644,12.0942107709467,9.74396544317208,13.5848402953501,1.34778903561535,0.628576852708681,2.46709863379048,1.08670464534749,7.29901093074766,2.12381414463975,8.66952717807737,9.97529750639102,2.57138346867125,7.40974541236242,0.983272018838605,0.721641028801872,1.61486192392359,0.793151843021283,1.77026230233926
ENSFCAG00000042180,10.4954016958394,11.0387341668184,11.3913093430513,8.88541251022784,1.94346130754634,1.0064685100691,-0.207549736945384,0.562455487394262,9.23504179545848,5.72644224661318,-0.465487827869075,6.62098612344816,1.27841146023864,1.27851916959226,2.15150909722829,-0.619978729658964,-0.162983935735042,0.891277327789266,-0.621110767405313,-0.45609811547267
ENSFCAG00000004768,7.41147799750783,7.43413465715397,8.23256472987635,7.02817362729994,4.30390249399447,-3.78388025510393,-1.76931501656312,-0.282540982427514,6.18216762171536,5.23349679776502,-1.00842870693848,6.43324180430493,1.46173508567961,0.235866607448029,1.92176078794059,-4.54591674336763,-2.86465040219766,-2.71190457555777,2.70905355304285,-4.54591674336763
ENSFCAG00000045399,-4.54591674336763,-4.54591674336763,-3.21555638506472,-4.54591674336763,-1.3637195219417,5.65503330101176,5.811557702036,3.18812139737742,5.88280360704887,3.08453333925184,1.46909167177854,5.81899889360299,4.85220906880538,6.3561249524189,6.36346577842854,-4.54591674336763,-4.0184273090394,3.50514545391699,1.0901493150432,-2.57722057407105
ENSFCAG00000002653,6.99155249610881,5.93026771035896,8.92163639575504,5.74063569753727,10.9902488726041,-1.03012327539164,-1.60323040900076,-2.12123904077982,-1.69145701320003,5.70573783142914,-0.465487827869075,6.03603067172637,6.54515064075232,0.430643385379972,4.97989425705844,-1.21881118010273,-1.99609842233901,-0.402338154812146,-1.97672736882335,-1.77439359559508
ENSFCAG00000002672,8.57128380023808,7.83494026264434,10.6161886976335,8.19196177006163,12.3546384450838,0.436795979309293,-1.19590450312481,0.679400102772284,0.569056592750782,6.75260088382866,1.34558744000571,7.52065504761557,8.24786479162768,1.46797833334682,6.92365653743015,0.0531215910335943,-0.0457830031800949,0.322868413101233,-0.00946503154772396,0.563135989570791
ENSFCAG00000012703,5.93428874884289,10.3480021893927,5.58379114357776,6.55421202810276,0.325389550337223,-3.78388025510393,-2.17289229365084,-3.24939268726918,2.5107243683215,7.61783355207377,-1.38263399302907,0.592145468549867,-1.42861767970033,-2.67770108903957,-2.17662422063532,-0.888545124346953,-1.99609842233901,-3.3552159076495,-3.0346842732142,-3.24897713830507
ENSFCAG00000045716,7.23864860612245,5.95341321457287,8.94706771908085,5.083827395785,8.61524461968992,-1.83066854351399,-2.17289229365084,-0.338307954245886,-1.69145701320003,4.24772472733776,-2.67687991767183,4.8050536111988,6.47758428747207,-1.18445341303614,5.2650845843656,-3.35003357092415,-1.79350153568807,-1.42559530302188,-2.13505633254247,-1.77439359559508
ENSFCAG00000014644,5.75926018589953,6.35575911625842,5.54624766742262,5.72801824376153,-4.54591674336763,-3.78388025510393,-2.73520389351749,-4.54591674336763,3.92574271406021,3.43204198975376,-4.54591674336763,4.26686181421433,-1.42861767970033,-3.3284354739342,-3.28953466184273,-4.54591674336763,-4.0184273090394,-4.54591674336763,-1.27750814108688,-3.24897713830507
ENSFCAG00000010564,5.46410169775319,3.72539950028965,10.2403980701096,6.35936169438657,9.81584886164738,-1.21729901634207,-2.73520389351749,0.220389137418085,-1.69145701320003,6.11492839429121,-1.38263399302907,6.37405765761842,5.56221284269127,1.60882851787702,7.21101347112532,-1.92219005874899,-1.89124657590921,0.660171953232113,-1.37295199830912,-1.77439359559508
ENSFCAG00000005428,8.6302525254627,8.93076292478105,9.5862389648882,7.44582438086682,-1.3637195219417,-0.788265040239241,-0.332018068603564,0.258484035208311,6.82368016609224,5.61565840751977,-0.465487827869075,5.10959018168677,0.0410193203240963,0.849403797284717,1.31075324514578,-2.70527201556513,-2.36597602576431,-1.92990161970482,-1.37295199830912,-2.57722057407105
ENSFCAG00000041564,7.43222372101894,7.88964524239605,8.10586452751998,4.78506802565829,-0.83273487520461,-2.38260670000454,-2.42682361945512,-2.33150943147517,5.78985095056212,1.56858846818372,-4.54591674336763,3.10796116423856,-3.00024263595599,-0.25640290354491,-0.402890106552931,-3.35003357092415,-2.86465040219766,-3.3552159076495,-3.0346842732142,-3.24897713830507
ENSFCAG00000041420,10.7867576589071,10.4663148060739,12.1050598903835,7.29733446543038,1.65751861115482,-0.141245067858879,-1.19590450312481,0.435188481280774,6.24441596083103,2.96765741039445,0.603323154639122,4.73876426653292,0.483985485117699,0.368594395827938,1.5046082882942,-0.198055941333767,-0.430509663126246,-0.206812118870113,-0.680929703607267,-0.337645062831083
ENSFCAG00000044249,7.2099789143276,7.05893060997068,7.68772916281377,4.83886874234731,-2.21293896344942,-2.38260670000454,-3.66930985820583,-3.75666180251424,5.39178319301438,1.89551683629362,-4.54591674336763,3.065321655249,-2.01023421675257,-2.23086895185027,-1.12331869353558,-1.92219005874899,-3.3291477624135,-1.65582417545051,-3.8527355071373,-3.24897713830507
ENSFCAG00000010704,3.38452231532671,2.58783772631013,4.57137220137975,5.23639098932271,10.1061478531764,-1.9922663184728,-3.66930985820583,-2.57774230827075,-2.30121363568231,5.10893669125113,-1.8892436261229,4.78329384682698,6.2418322539122,0.368594395827938,3.04411886439377,-3.35003357092415,-2.86465040219766,-3.3552159076495,-3.8527355071373,-2.57722057407105
ENSFCAG00000004445,6.31720763872381,5.40768578036025,8.65939887491932,6.21988673972606,9.43086768156816,-1.43243109342358,-0.97682971081848,-1.62874554882827,-0.934958423613849,6.53366431349399,-1.38263399302907,6.43254300120112,7.79883033386637,1.17356103706124,4.84909494112439,-1.04424803023777,-0.545174425634143,-1.05264239977366,-1.70425586312639,-2.12066872934933
ENSFCAG00000046293,6.70636843051733,7.0074784180905,8.25049178222738,4.88221912585874,-2.21293896344942,-2.17427510636876,-3.12794063009759,-3.24939268726918,5.92142186894314,1.34584411917201,-4.54591674336763,2.65992399847547,-1.59770546243388,-2.23086895185027,0.30103681692185,-1.92219005874899,-3.07828528362698,-1.05264239977366,-3.38648797514903,-4.54591674336763
ENSFCAG00000013538,5.20072716603685,3.86041766044763,5.66715672141311,4.58270411970305,7.55301949092892,-3.28784071043599,-2.42682361945512,-4.54591674336763,-4.54591674336763,4.6565651116827,-2.67687991767183,4.96630850203787,3.82537015182286,-1.18445341303614,1.75387195213232,-2.70527201556513,-3.63300837800763,-2.71190457555777,-3.38648797514903,-3.24897713830507
ENSFCAG00000025799,6.85007794415634,5.76659578301257,9.14196983859089,5.80662628965574,8.92744066393312,-1.83066854351399,-2.17289229365084,-0.396317561602567,-1.26418043531035,5.01528945066252,-0.255329876807503,5.64049601857121,7.42369856000834,1.73714236581322,5.21515307225685,-0.748021522812476,-2.1091721132218,-1.92990161970482,-2.13505633254247,-0.726898542848374
ENSFCAG00000011170,5.0642592876587,2.90020609733783,3.94582888386718,4.55439672838319,6.73992316105354,-3.78388025510393,-3.12794063009759,-3.24939268726918,-2.74147883013384,4.14381087021585,-4.54591674336763,2.36408374520177,6.21734630171165,-1.18445341303614,3.86895851367914,-3.35003357092415,-4.0184273090394,-3.3552159076495,-3.38648797514903,-4.54591674336763
ENSFCAG00000023618,-3.74811641062114,-2.76983410529797,-4.54591674336763,-3.30745262729542,-2.21293896344942,-4.54591674336763,-3.66930985820583,-3.75666180251424,-4.54591674336763,-3.47456775293222,0.980748875511707,-3.56221541232637,-1.78927482973319,-1.8901950657808,2.0721328772314,5.97440410289196,5.34995938570585,4.93415774953975,5.77012102727163,6.80022517839876
ENSFCAG00000046559,11.5458748964636,10.7184498853801,14.3823021458795,10.7875240376863,14.2341166444389,3.65359202517343,3.3865408661558,4.33935794111141,3.99979337604821,10.865607315098,4.11314692273389,10.446786331528,12.1320691502688,5.1383942120109,10.5289131039708,3.92975114300453,3.24373371404101,4.10219790720825,3.4665642037469,3.80248767611263
ENSFCAG00000028305,5.62338542263605,5.65361812551693,6.9739165262331,6.16126222932876,-4.54591674336763,-4.54591674336763,-1.76931501656312,-3.75666180251424,3.86363771763991,2.23594570719385,-4.54591674336763,3.80941594424479,-0.280304131451566,-1.18445341303614,0.15459297854047,-4.54591674336763,-3.63300837800763,-4.54591674336763,-0.455235549351209,-1.49535314335414
ENSFCAG00000036039,6.34046960096948,5.06256209895208,8.88964740702343,4.30539831277905,7.99364533989301,-2.91940823672015,-3.66930985820583,0.435188481280774,-1.69145701320003,3.58157999604,-1.38263399302907,5.13730109816674,5.41578026321619,0.803240245385552,5.09731067860546,-2.26123950621352,-2.1091721132218,-1.42559530302188,-2.51585468234352,-2.57722057407105
ENSFCAG00000032065,9.66227456264121,9.67361964959069,1.62778587146313,0.885159095129894,2.90243103298176,4.68661660682132,7.09970343636336,13.2548420441261,9.04612962784946,0.0468000765627733,6.55404702112743,6.80393612609414,8.63479422806775,10.0488532963141,1.8989400674147,0.942370399251153,0.367385924391362,5.57271655496749,0.77099739212242,10.1378793816338
ENSFCAG00000032070,6.8433416512508,7.05273956073096,-0.403405062699114,-0.550052997480206,0.676964341517693,0.84836025950155,3.19685245648979,9.81700035611267,7.00122675774286,-1.25149024896955,2.75347710253658,3.16292160671245,8.48304033400054,7.83268893012336,-0.521016559026026,-1.92219005874899,-1.89124657590921,2.25247986118367,-1.1037007596316,9.52324857635804
ENSFCAG00000031201,-1.04278696575206,1.81577797159526,2.19589853649022,6.18106960794977,1.08231173839207,-1.43243109342358,-2.42682361945512,-2.12123904077982,9.57603696368743,8.45390550742765,-2.67687991767183,8.44990042584544,-0.793582493160195,0.803240245385552,0.77206926773896,-2.26123950621352,-2.67860854324837,-1.65582417545051,-3.38648797514903,-1.49535314335414
ENSFCAG00000007548,8.16280015299255,8.55855153226109,10.0793934246989,6.33979922668316,0.676964341517693,-0.344512593713946,-1.19590450312481,-0.396317561602567,8.02866598171096,5.12462027530117,-1.38263399302907,5.06879945163166,0.0975098041771601,0.235866607448029,2.03074461740691,-1.92219005874899,0.113895196936913,-1.05264239977366,-1.47516025158191,-2.12066872934933
ENSFCAG00000040756,5.09794175780259,5.56781157147576,6.85126880703465,6.35218529389192,-2.21293896344942,-3.28784071043599,-0.700242910833282,-4.54591674336763,5.92775892633213,4.61275310398671,-1.38263399302907,4.40435878513488,-2.27126476291415,-1.8901950657808,0.821447695865079,-4.54591674336763,-3.63300837800763,0.119139676446462,-3.0346842732142,-3.24897713830507
ENSFCAG00000032052,7.46124143787248,8.00549101862304,0.73453370775788,-1.15136079395075,0.959430072803473,1.0064685100691,4.16497913666329,10.4286162793037,7.34500604545932,-1.42328021536011,4.15972649387685,4.15608713642475,7.95675590238181,8.38548648628043,2.11236682241904,-0.502379459723791,-1.99609842233901,2.88765390622144,-1.83406868499725,9.01408228232415
ENSFCAG00000010436,-1.35641893493453,-0.283850480647085,-1.44607050409024,-2.20153807407195,-2.21293896344942,6.46161902270896,7.26928555709743,3.3644069348591,6.13255602128143,7.60356451516447,2.26685384997669,7.27266730350669,6.96746213506804,6.03263578076918,7.01735230863731,0.127987609100567,-2.1091721132218,3.1599715834786,-2.51585468234352,-2.57722057407105
ENSFCAG00000000293,2.42904610674183,6.79598884091518,4.46526193690695,11.6741214153655,5.26390635079215,2.66189096426329,1.96652525706081,2.74714920919039,2.26060587284264,3.12408165615795,10.2474244917025,2.57128029448503,4.26831529291953,3.91988396586179,3.53334424255684,10.0627322842418,12.8975565537706,10.3858230659981,9.72719661091288,14.1655998728177
ENSFCAG00000040770,1.02461467076327,2.37336363578155,0.274966088629617,-0.32302430492365,-0.83273487520461,6.66716342187657,7.52054602185063,7.88107706879804,8.32934226306574,5.88448300519774,6.45106679274291,5.18786665852372,6.48355807310877,11.2030328467941,8.12183434462331,-2.70527201556513,-2.67860854324837,3.38895853009488,3.1217278194211,-0.0314115101155133
ENSFCAG00000032551,2.56627691671871,3.49242354884202,5.36971633728402,0.124838514206021,-2.21293896344942,7.41517722427808,6.7789227419188,5.89306864381979,8.29298699743646,6.29724225393189,6.91608345059214,7.08664580667912,8.17364911639656,6.12232161725548,5.64870767677516,-4.54591674336763,-2.67860854324837,1.89597525468371,2.45487242829703,-2.57722057407105
ENSFCAG00000014443,9.7382512580305,8.60467902044277,9.36264244687467,11.4563794844166,11.4271821239137,1.22446243885197,0.488385896148517,0.982256583151347,6.2208704637434,1.39839952903358,8.21885547424742,0.422335524121778,6.7262423498767,2.67755627356985,1.9663470263995,8.21466188922006,10.3194281905278,10.5265160677422,7.39902898357727,9.67989529699523
ENSFCAG00000045987,5.58968818225967,5.73881940220191,6.33692486266348,4.13904423779927,-4.54591674336763,-2.91940823672015,-3.66930985820583,-3.75666180251424,4.48549203869984,0.837846370260185,-4.54591674336763,1.83108066859801,-4.54591674336763,-1.8901950657808,-0.649684640200665,-3.35003357092415,-4.54591674336763,-3.3552159076495,-3.8527355071373,-4.54591674336763
ENSFCAG00000032077,8.14534834723724,8.42112397147126,1.08253471998868,-0.0380235782549877,1.80756263774621,3.22303134585892,5.31623980573403,11.5885657711106,8.05986973252258,-0.716395094178446,5.03845225870993,5.28087015955965,8.19585256589218,8.7880625734036,0.821447695865079,-0.393647834662539,-0.80609858746997,3.9969775606991,-1.02406668178674,9.18368454200425
ENSFCAG00000003923,4.7985927460132,3.64985600362832,7.42792712785771,4.81221916026935,9.29015330597274,0.404689834574308,-1.76931501656312,-2.33150943147517,-2.74147883013384,5.29196313853866,-1.8892436261229,4.90717523519018,5.71896981982432,0.368594395827938,3.69441713900593,-3.35003357092415,-0.80609858746997,-2.26855439891734,-2.51585468234352,-3.24897713830507
ENSFCAG00000038925,8.45393044857115,6.47924459863192,10.2551700884111,10.1444443697308,0.959430072803473,0.157393385465434,-0.878623228017511,-1.06119284419839,5.29705957912101,6.18765700040942,0.0907644917471493,6.00534422249354,0.855549768383699,-1.00946211505957,0.15459297854047,-0.502379459723791,1.23158391337318,2.25247986118367,-2.31292787823049,-1.0605546204845
